Party,Votes,Logo
राष्ट्रिय स्वतन्त्र पार्टी,2727584,https://result.election.gov.np/Images/symbol-hor-pa/2528.jpg
नेपाली काँग्रेस,917832,https://result.election.gov.np/Images/symbol-hor-pa/2583.jpg
नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),791528,https://result.election.gov.np/Images/symbol-hor-pa/2598.jpg
नेपाली कम्युनिष्ट पार्टी,378290,https://result.election.gov.np/Images/symbol-hor-pa/2557.jpg
राष्ट्रिय प्रजातन्त्र पार्टी,198090,https://result.election.gov.np/Images/symbol-hor-pa/2604.jpg
श्रम संस्कृति पार्टी,145114,https://result.election.gov.np/Images/symbol-hor-pa/2501.jpg
"जनता समाजवादी पार्टी, नेपाल",69138,https://result.election.gov.np/Images/symbol-hor-pa/2542.jpg
राष्ट्रिय परिवर्तन पार्टी,60850,https://result.election.gov.np/Images/symbol-hor-pa/2568.jpg
नेपाल मजदुर किसान पार्टी,31738,https://result.election.gov.np/Images/symbol-hor-pa/2578.jpg
जनमत पार्टी,31168,https://result.election.gov.np/Images/symbol-hor-pa/2585.jpg
"एकल चिन्ह चकिया (जाँतो) (राष्ट्रिय मुक्ति पार्टी नेपाल/जनता समाजवादी पार्टी/नागरिक उन्मुक्ति पार्टी, नेपाल)",27558,https://result.election.gov.np/Images/symbol-hor-pa/2531.jpg
राष्ट्रिय जनमोर्चा,17283,https://result.election.gov.np/Images/symbol-hor-pa/2522.jpg
राष्ट्र निर्माण दल नेपाल,17265,https://result.election.gov.np/Images/symbol-hor-pa/2527.jpg
नेपाल कम्युनिस्ट पार्टी (माओवादी),14564,https://result.election.gov.np/Images/symbol-hor-pa/2526.jpg
नेपाल जनता संरक्षण पार्टी,13562,https://result.election.gov.np/Images/symbol-hor-pa/2541.jpg
प्रगतिशील लोकतान्त्रिक पार्टी,11173,https://result.election.gov.np/Images/symbol-hor-pa/2516.jpg
मंगोल नेशनल अर्गनाइजेशन,9889,https://result.election.gov.np/Images/symbol-hor-pa/2511.jpg
एकल चिन्ह  बस (नेपाल संघीय समाजवादी पार्टी/बहुजन एकता पार्टी नेपाल/नेपाल जनजागृति पार्टी),9593,https://result.election.gov.np/Images/symbol-hor-pa/2567.jpg
सार्वभौम नागरिक पार्टी,7535,https://result.election.gov.np/Images/symbol-hor-pa/2520.jpg
एकल चिन्ह मोबाइल (आम जनता पार्टी/जनादेश पार्टी नेपाल),5500,https://result.election.gov.np/Images/symbol-hor-pa/2581.jpg
"राष्ट्रिय मुक्ति आन्दोलन, नेपाल",5451,https://result.election.gov.np/Images/symbol-hor-pa/2591.jpg
संयुक्त नागरिक पार्टी,4490,https://result.election.gov.np/Images/symbol-hor-pa/2521.jpg
नेपाल जनता पार्टी,3866,https://result.election.gov.np/Images/symbol-hor-pa/2507.jpg
राष्ट्रिय एकता दल,3663,https://result.election.gov.np/Images/symbol-hor-pa/2548.jpg
नेपालका लागि नेपाली पार्टी,3330,https://result.election.gov.np/Images/symbol-hor-pa/2524.jpg
नेशनल रिपब्लिक नेपाल,3284,https://result.election.gov.np/Images/symbol-hor-pa/2504.jpg
राष्ट्रिय जनमुक्ति पार्टी,3175,https://result.election.gov.np/Images/symbol-hor-pa/2605.jpg
नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी-लेनिनवादी),2898,https://result.election.gov.np/Images/symbol-hor-pa/2602.jpg
नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),2821,https://result.election.gov.np/Images/symbol-hor-pa/2523.jpg
राष्ट्रिय गौरव पार्टी,2270,https://result.election.gov.np/Images/symbol-hor-pa/2558.jpg
संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,2243,https://result.election.gov.np/Images/symbol-hor-pa/2550.jpg
नेपाल कम्युनिष्ट पार्टी (संयुक्त),2207,https://result.election.gov.np/Images/symbol-hor-pa/2601.jpg
समावेशी समाजवादी पार्टी नेपाल,1900,https://result.election.gov.np/Images/symbol-hor-pa/2572.jpg
नेपाल लोकतान्त्रिक पार्टी,1885,https://result.election.gov.np/Images/symbol-hor-pa/2553.jpg
गतिशील लोकतान्त्रिक पार्टी,1782,https://result.election.gov.np/Images/symbol-hor-pa/2571.jpg
नेपाल मातृभूमि पार्टी,1746,https://result.election.gov.np/Images/symbol-hor-pa/2565.jpg
"राष्ट्रिय उर्जाशील पार्टी, नेपाल",1730,https://result.election.gov.np/Images/symbol-hor-pa/2534.jpg
जय मातृभूमि पार्टी,1467,https://result.election.gov.np/Images/symbol-hor-pa/2510.jpg
राष्ट्रिय जनता पार्टी नेपाल,1429,https://result.election.gov.np/Images/symbol-hor-pa/2551.jpg
बहुजन शक्ति पार्टी,1360,https://result.election.gov.np/Images/symbol-hor-pa/2536.jpg
नेपाल जनमुक्ति पार्टी,1114,https://result.election.gov.np/Images/symbol-hor-pa/2529.jpg
प्रजातान्त्रिक पार्टी नेपाल,1087,https://result.election.gov.np/Images/symbol-hor-pa/2582.jpg
जन अधिकार पार्टी,1075,https://result.election.gov.np/Images/symbol-hor-pa/2540.jpg
नेपाल सद्‍भावना पार्टी,910,https://result.election.gov.np/Images/symbol-hor-pa/2555.jpg
पिपुल फर्ष्ट पार्टी,908,https://result.election.gov.np/Images/symbol-hor-pa/2552.jpg
नेपाली काँग्रेस (वी.पी.),851,https://result.election.gov.np/Images/symbol-hor-pa/2509.jpg
"नागरिक शक्ति, नेपाल",839,https://result.election.gov.np/Images/symbol-hor-pa/2549.jpg
"जनता लोकतान्त्रिक पार्टी, नेपाल",728,https://result.election.gov.np/Images/symbol-hor-pa/2574.jpg
नेपाली जनता दल,708,https://result.election.gov.np/Images/symbol-hor-pa/2595.jpg
नेपाली जनश्रमदान संस्कृति पार्टी,704,https://result.election.gov.np/Images/symbol-hor-pa/2579.jpg
समावेशी समाजवादी पार्टी,690,https://result.election.gov.np/Images/symbol-hor-pa/2590.jpg
स्वाभिमान पार्टी,602,https://result.election.gov.np/Images/symbol-hor-pa/2569.jpg
एकल चिन्ह जगर भएको सिंह(सचेत नेपाली पार्टी/नागरिक सर्वोच्चता पार्टी नेपाल),504,https://result.election.gov.np/Images/symbol-hor-pa/2537.jpg
जनप्रिय लोकतान्त्रिक पार्टी,433,https://result.election.gov.np/Images/symbol-hor-pa/2564.jpg
मितेरी पार्टी नेपाल,405,https://result.election.gov.np/Images/symbol-hor-pa/2530.jpg
उन्‍नत लोकतन्त्र पार्टी,340,https://result.election.gov.np/Images/symbol-hor-pa/2515.jpg
त्रिमुल नेपाल,328,https://result.election.gov.np/Images/symbol-hor-pa/2505.jpg
